Criterio,Arboles,Profundidad,Atributos

entropy,46,10,auto,0.933459108575646, 0.24546119796817628, 0.24619887142088198, 0.2449011055892247, 0.2464593977046603

entropy,46,10,auto,0.24857843602574617, 0.9364228292223539, 0.24665344139572337, 0.2485515552298547, 0.2459095940201891

entropy,46,10,auto,0.2426961945005611, 0.24539698934306636, 0.9355569243021981, 0.938085267331811, 0.937562538321655

entropy,46,10,auto,0.24276681308562736, 0.2486142517589055, 0.9348630503940305, 0.9356762264215893, 0.934328223205864

entropy,46,10,auto,0.24302724928732672, 0.24704030357374357, 0.936223904952038, 0.9363441317511414, 0.9363036746589732


gini,125,10,log2,0.9373346429199901, 0.24453664825036145, 0.24504529066916253, 0.24724404194310132, 0.24535166450301943

gini,125,10,log2,0.24925291562103002, 0.9378510672237707, 0.24763266500222142, 0.24642322686204832, 0.24624712348274197

gini,125,10,log2,0.24351528066242173, 0.24679816505233193, 0.9372346754483105, 0.9379730649770563, 0.9361080329730739

gini,125,10,log2,0.24211417131372667, 0.24639345052862996, 0.9382006248303559, 0.9423183467398857, 0.9365041630343581

gini,125,10,log2,0.24240674328337186, 0.24479617433963272, 0.9351477015826146, 0.9352322381757506, 0.9403675459390778


entropy,167,11,auto,0.9377742438268774, 0.24582900370047017, 0.24573052493486186, 0.2451430856697393, 0.24464058572260983

entropy,167,11,auto,0.24824147836128557, 0.9416329089462927, 0.24759117086564825, 0.24643127067790482, 0.2475492830727606

entropy,167,11,auto,0.2417442668446219, 0.24640817113170554, 0.937487868035171, 0.9391490639018455, 0.9396537229129628

entropy,167,11,auto,0.2414826623970831, 0.2473471531203954, 0.9403489824723203, 0.9410183361890723, 0.9413967823553626

entropy,167,11,auto,0.24151275637239006, 0.24776132712290627, 0.9406612026022313, 0.9430993574105146, 0.9413844121315369


gini,63,11,log2,0.9325214732885644, 0.24455442975098865, 0.2469518366420194, 0.24680679856494372, 0.24604856809171743

gini,63,11,log2,0.24834185359252153, 0.938172314140143, 0.24674992343694085, 0.2465081008219493, 0.24759412479784898

gini,63,11,log2,0.2421858993492979, 0.24759640106480724, 0.9360735822714389, 0.9388697926304783, 0.9394927651107753

gini,63,11,log2,0.24402859842918725, 0.24564227366536096, 0.9355648476443744, 0.9401582332551381, 0.9364986134724796

gini,63,11,log2,0.24199469324441095, 0.24627689588366125, 0.9381664910265836, 0.9373744942333176, 0.940991499843461


entropy,76,13,auto,0.9370473889049901, 0.24469089256461243, 0.24600601328737298, 0.2460710549303753, 0.2471642456618084

entropy,76,13,auto,0.24576122808629225, 0.9387062018196082, 0.24709314729171467, 0.24764024122416936, 0.24658948571534461

entropy,76,13,auto,0.24168084698891013, 0.24772992079295636, 0.9397824422693383, 0.9413987040662755, 0.940751138411744

entropy,76,13,auto,0.24255631720818036, 0.24857788810840076, 0.9415905471017308, 0.9420936578672445, 0.9381080742548568

entropy,76,13,auto,0.24140123726181187, 0.24704501925503938, 0.9382126864549509, 0.940482108295971, 0.9398459122793638


