Criterio,Arboles,Profundidad,Atributos,p1,p2,p3,p4,p5
entropy,35,21,auto,0.9898146667133843, 0.990389850430308, 0.9955332734752189, 0.992268228391117, 0.9893351620045935
entropy,35,21,auto,0.9918762909713341, 0.9897602593745174, 0.9865587120786512, 0.9925833505668288, 0.9926916302208719
entropy,35,21,auto,0.9943391391910786, 0.9904220741387306, 0.9899288185315002, 0.9927524194445378, 0.9949706600979293

gini,95,21,auto,0.9867605879534698, 0.9867390981843416, 0.9867605879534698, 0.9852640119488046, 0.9837757942908436
gini,95,21,auto,0.9852368749067582, 0.9861308591743921, 0.9843984553417529, 0.9833177662414223, 0.9850995850240288
gini,95,21,auto,0.9858218089929519, 0.9864876944739331, 0.9871092426464666, 0.9851750512807191, 0.985509040491722
gini,95,21,auto,0.9856107035476953, 0.9880724074220333, 0.9875174509115863, 0.9888233354929981, 0.9861434628104194
gini,95,21,auto,0.9876572491837563, 0.9874857931239196, 0.9863792509269667, 0.9874857931239196, 0.9893041604264063

gini,38,21,auto,0.9838866744828184, 0.9847049414573993, 0.9844051855189727, 0.9856969787376575, 0.9869757915889023
gini,38,21,auto,0.9840142398509071, 0.9858784804504745, 0.9818144317138237, 0.9816094331985076, 0.980957863858611
gini,38,21,auto,0.9834207750107464, 0.9875146285449368, 0.9863181610142434, 0.9872391032296537, 0.9821017335191995
gini,38,21,auto,0.986798748152802, 0.9810897458105432, 0.9877738815136116, 0.9845211704723607, 0.9832193196293632
gini,38,21,auto,0.9875146285449368, 0.9881280054978497, 0.98716303742051, 0.9871745118916898, 0.9857665557210987

