Criterio,Arboles,Profundidad,Atributos,p1,p2,p3,p4,p5
gini,63,11,log2,0.9849270081087088, 0.9828507978387707, 0.9833054231573677, 0.9847430927598866, 0.9820220594495195
gini,63,11,log2,0.9817446838790205, 0.982944999211509, 0.9840943169250054, 0.9830355043696135, 0.9845164684930758
gini,63,11,log2,0.9833479935409438, 0.9844078019315738, 0.982296353298487, 0.9831630102816065, 0.9845994341625
gini,63,11,log2,0.9827622355091024, 0.9828457615622027, 0.9833741410233159, 0.983059587483158, 0.9830023631251443

entropy,76,13,auto,0.991192058269982, 0.9905773673860412, 0.9899536423381721, 0.9901503988082716, 0.9899674978746364
entropy,76,13,auto,0.9923768792912546, 0.9916842023387555, 0.9924204437681996, 0.9922517894356813, 0.9908092064069842
entropy,76,13,auto,0.9900837618530429, 0.9916076514174144, 0.9921058549149138, 0.9921163420959698, 0.9904146176959202
entropy,76,13,auto,0.9921215671560286, 0.9916554873024, 0.9919451432287403, 0.9924060739460728, 0.9918264276492613
entropy,76,13,auto,0.9921267799105453, 0.9923288558843296, 0.9922351110983549, 0.9919870822435809, 0.991313248543128

gini,29,14,log2,0.992679470801503, 0.9923476529132906, 0.9909150747933113, 0.9916380324483121, 0.9916267428665351
gini,29,14,log2,0.9939288210912623, 0.9930549128550633, 0.9934118795474204, 0.9931737499524462, 0.9928805346824895
gini,29,14,log2,0.9930349195868805, 0.9923554022131726, 0.993141030310533, 0.9929705461092067, 0.9928672936705585
gini,29,14,log2,0.9931365250229427, 0.993639315054897, 0.9918621043436231, 0.9928589670179964, 0.9923191307920625
gini,29,14,log2,0.991794013925971, 0.9926747558737895, 0.9919913120199082, 0.992827116386439, 0.9931769607469043

entropy,186,15,log2,0.9949472187446263, 0.9953266694737241, 0.9944512454198586, 0.9944552496468848, 0.9948055414559012
entropy,186,15,log2,0.9948515932558185, 0.9953680939690838, 0.9950249898186455, 0.9953680939690838, 0.9952516575853441
entropy,186,15,log2,0.9954590931136138, 0.9951227296405482, 0.9948227801690679, 0.995295763315901, 0.9948194335436048
entropy,186,15,log2,0.9943164091888216, 0.9952925305880278, 0.9949597464098939, 0.9952925305880278, 0.9949493310602674
entropy,186,15,log2,0.9956287784031687, 0.9952925305880278, 0.9957983463393265, 0.9948227801690679, 0.9951227296405482

