Tipo,P1,P2,P3,P4,P5
Bernoulli,4 0.48089930903099143, 0.48089930903099143, 0.48089930903099143, 0.48089930903099143, 0.48089930903099143
Gausiano,4 0.4073672814987833, 0.4073672814987833, 0.4073672814987833, 0.4073672814987833, 0.4073672814987833
Categorical,4 0.4023941505909746, 0.4023941505909746, 0.4023941505909746, 0.4023941505909746, 0.4023941505909746
Bernoulli,4 0.4809610943041913, 0.4809610943041913, 0.4809610943041913, 0.4809610943041913, 0.4809610943041913
Gausiano,4 0.4112517702882193, 0.4112517702882193, 0.4112517702882193, 0.4112517702882193, 0.4112517702882193
Categorical,4 0.3981576605657938, 0.3981576605657938, 0.3981576605657938, 0.3981576605657938, 0.3981576605657938
Bernoulli,4 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025
Gausiano,4 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604
Categorical,4 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642
Bernoulli,4 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025
Gausiano,4 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604
Categorical,4 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642
Bernoulli,4 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025, 0.48639498756509025
Gausiano,4 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604, 0.41669001218385604
Categorical,4 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642, 0.3984557509571642

