Tipo,P1,P2,P3,P4,P5
Bernoulli,4 0.6955719627594628, 0.6955719627594628, 0.6955719627594628, 0.6955719627594628, 0.6955719627594628
Gausiano,4 0.8834323276073076, 0.8834323276073076, 0.8834323276073076, 0.8834323276073076, 0.8834323276073076
Categorical,4 0.9329141884658125, 0.9329141884658125, 0.9329141884658125, 0.9329141884658125, 0.9329141884658125
Bernoulli,4 0.6927859877784498, 0.6927859877784498, 0.6927859877784498, 0.6927859877784498, 0.6927859877784498
Gausiano,4 0.881987743998264, 0.881987743998264, 0.881987743998264, 0.881987743998264, 0.881987743998264
Categorical,4 0.9331381627032469, 0.9331381627032469, 0.9331381627032469, 0.9331381627032469, 0.9331381627032469
Bernoulli,4 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575
Gausiano,4 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882
Categorical,4 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279
Bernoulli,4 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575
Gausiano,4 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882
Categorical,4 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279
Bernoulli,4 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575, 0.689389707997575
Gausiano,4 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882, 0.882865296007882
Categorical,4 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279, 0.934866141894279

